행정구역,2025년02월_총인구수,2025년02월_세대수,2025년02월_남자 인구수,2025년02월_여자 인구수
전국,51191817,24170531,25484498,25707319
서울특별시,9334828,4492425,4505412,4829416
부산광역시,3262337,1573020,1587357,1674980
대구광역시,2362578,1107127,1158607,1203971
인천광역시,3027854,1380110,1512651,1515203
광주광역시,1405226,658792,693552,711674
대전광역시,1439809,690964,717573,722236
울산광역시,1095778,496077,563999,531779
세종특별자치시,391669,164111,194967,196702
경기도,13698657,6072106,6883368,6815289
강원특별자치도,1513735,765316,761064,752671
충청북도,1590107,789271,809548,780559
충청남도,2135340,1055137,1095862,1039478
전북특별자치도,1735008,865541,864313,870695
전라남도,1785487,913114,901141,884346
경상북도,2524067,1292811,1277157,1246910
경상남도,3221132,1539748,1623866,1597266
제주특별자치도,668205,314861,334061,334144
